Brand,Model,Release Year
Lamkin,Sonar Tour,2018
Lamkin,Sonar Wrap,2018
Lamkin,Sonar+ Tour Calibrate,2021
Lamkin,Sonar+ Wrap Calibrate,2021
Lamkin,ST+2 Hybrid,2021
Lamkin,ST+2 Hybrid Calibrate,2021
Lamkin,UTx,2014
Lamkin,Z5,2016
NO1 Grip,43 Series,2015
NO1 Grip,48 Series,2014
NO1 Grip,50 Series,2011
NO1 Grip,Ichi,2021
NO1 Grip,Pro Series,2018
Odyssey,4 Swirl,2017
Odyssey,Jumbo Light,2015
Odyssey,Stroke Lab Grip,2019
Odyssey,White Hot OG Grip,2021
P2 Grips,Aware Tour,2017
P2 Grips,Classic Tour,2017
P2 Grips,React Tour,2017
P2 Grips,Reflex Tour,2017
P2 Grips,Touch Tour,2017
PING,ID-8,2010
PING,PP58,1968
PING,PP58 Midsize,2016
PING,PP60,2016
PING,PP61,2016
PING,PP62,2016
PURE Grips,DTX,2012
PURE Grips,P2 Wrap,2020
PURE Grips,Pro,2011
PURE Grips,Wrap,2011
Rosemark,1.25 Thorn,2016
Rosemark,1.52 Neo,2018
Rosemark,1.52 Thorn,2016
Scotty Cameron,Dancing Cameron,2013
Scotty Cameron,Matador,2014
Scotty Cameron,Pistolero,2011
Scotty Cameron,Pistolini,2011
Star Grip,Classic Wrap,2011
Star Grip,Sidewinder 360,2018
Star Grip,Tour Star,2011
SuperStroke,Cross Comfort,2018
SuperStroke,Fatso 5.0,2011
SuperStroke,Flatso,2013
SuperStroke,Pistol GT,2016
SuperStroke,S-Tech,2016
SuperStroke,Slim 3.0,2011
SuperStroke,Soft Wrap TC,2019
SuperStroke,TLT Off-Axis,2026
SuperStroke,Traxion Claw,2019
SuperStroke,Traxion Flatso,2019
SuperStroke,Traxion Pistol GT,2019
SuperStroke,Traxion Tour,2019
SuperStroke,Traxion WristLock,2021
SuperStroke,Zenergy 1.0PT,2023
SuperStroke,Zenergy Claw,2023
SuperStroke,Zenergy Flatso,2023
SuperStroke,Zenergy Pistol,2023
SuperStroke,Zenergy Pistol GT,2023
SuperStroke,Zenergy Pistol Lock,2025
SuperStroke,Zenergy SS2R Squared,2023
SuperStroke,Zenergy Tour,2023
SuperStroke,Zenergy WristLock,2023
SuperStroke,Zenergy XL Plus,2023
TaylorMade,Crossline 360,2020
TaylorMade,SuperStroke Pistol GTR 1.0,2018
TaylorMade,Z-Grip,2017
Titleist,Tour Velvet 360,2017
Winn,Dri-Tac,2012
Winn,Dri-Tac 2.0,2023
Winn,Dri-Tac 2.0 Wrap,2023
Winn,Dri-Tac Lite,2018
Winn,Dri-Tac LT,2021
Winn,Dri-Tac Wrap,2014
Winn,Excel,2001
Winn,Excel JumboLite Pistol,2016
Winn,Excel Tour Pistol,2012
Winn,Excel Vision Medalist,2015
Winn,NTP,2020
Winn,Pro X,2014
Winn,WinnDry,2019
Winn,WinnPro X,2014
